url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,33,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,20,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/edit/main/README.md,17,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.md,16,5
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/.github/workflows,12,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions,11,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors,9,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,9,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions/workflows/github-repo-stats.yml,8,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/global_ampf_v01.txt,7,1
